Pack;dt;Roll;Pitch;Yaw;q0;q1;q2;q3;Gyro_x;Gyro_y;Gyro_z;Accel_x;Accel_y;Accel_z;Mag_x;Mag_y;Mag_z;Alti;VVel;dt_Baro;Baro;Temp
261337;0.00199778564274;8.76030698006;3.36734098931;-74.5293325531;-0.0784821286798;-0.790879070759;0.603700518608;0.0228986442089;7.85902833939;1.09096515179;-0.172112807631;0.011962890625;0.2275390625;-1.02416992188;0.717187523842;33.0984382629;-10.0593748093;0;0;0;0;0
261338;0.00199778564274;8.75158822475;3.36521496302;-74.5280485756;-0.0784108787775;-0.790894389153;0.603690743446;0.0228661932051;7.57060337067;1.94566214085;-0.31022554636;0.008544921875;0.23193359375;-1.02685546875;0.0;35.6167984009;-9.01875019073;0;0;0;0;0
261339;0.0019978096243;8.74362986231;3.36458610253;-74.5261934906;-0.0783529505134;-0.790911376476;0.603677749634;0.0228270906955;6.76009130478;2.72450470924;-0.309646129608;0.01171875;0.232421875;-1.029296875;0.0;35.6167984009;-9.01875019073;0;0;0;0;0
261340;0.00199778564274;8.73729093556;3.36563246667;-74.5241120386;-0.0783151239157;-0.790927290916;0.603663265705;0.0227848459035;6.25672483444;3.53359270096;-0.157167509198;0.015625;0.239013671875;-1.04125976562;0.0;35.6167984009;-9.01875019073;0;0;0;0;0
261341;0.00199778564274;8.73210361686;3.36848378236;-74.5220848835;-0.078294813633;-0.790941059589;0.603649556637;0.0227362979203;5.79676198959;4.2514629364;0.0116083370522;0.015625;0.24365234375;-1.04833984375;0.0;35.6167984009;-9.01875019073;0;0;0;0;0
261342;0.00199778564274;8.72794215124;3.37279678622;-74.520138917;-0.0782893374562;-0.790952861309;0.603637039661;0.0226831864566;5.2169084549;5.27431583405;0.408426165581;0.02587890625;0.240478515625;-1.05200195312;0.0;35.6167984009;-9.01875019073;0;0;0;0;0
261343;0.00199778564274;8.72472377024;3.37967958459;-74.5187484917;-0.0783038809896;-0.790959656239;0.603628516197;0.0226177051663;4.6837553978;5.99168014526;1.0338653326;0.042724609375;0.233154296875;-1.05346679688;0.0;35.2570304871;-10.40625;0;0;0;0;0
261344;0.00199778564274;8.72217202297;3.38887519101;-74.5184007527;-0.0783351063728;-0.790959358215;0.603627979755;0.0225405432284;4.25462770462;6.26675415039;1.6147261858;0.1083984375;0.222412109375;-1.01831054688;0.0;35.2570304871;-10.40625;0;0;0;0;0
261345;0.0019978096243;8.72024143059;3.40171400644;-74.5192357647;-0.0783897042274;-0.790950536728;0.603635966778;0.0224423334002;4.05765151978;5.07567405701;1.84308993816;0.190185546875;0.229248046875;-0.934814453125;0.0;35.2570304871;-10.40625;0;0;0;0;0
261346;0.00199778564274;8.71973438288;3.41642431205;-74.5208222503;-0.0784639194608;-0.790935635567;0.603649497032;0.0223392769694;4.71413993835;2.00697159767;3.20186853409;0.079833984375;0.27197265625;-0.965087890625;0.0;35.2570304871;-10.40625;0;0;0;0;0
261347;0.00199778564274;8.71941649963;3.4202195007;-74.5256459682;-0.0784809216857;-0.790908813477;0.60368335247;0.0223147105426;3.01828551292;-0.0539045296609;6.14894866943;0.071044921875;0.230224609375;-1.0478515625;0.0;35.2570304871;-10.40625;0;0;0;0;0
261348;0.00199778564274;8.7194875847;3.42021252648;-74.5369840898;-0.0784791857004;-0.790849328041;0.603761434555;0.0223228782415;2.48543214798;-1.26025211811;7.46128177643;0.063232421875;0.23681640625;-1.07080078125;-0.358593761921;34.5374984741;-10.0593748093;0;0;0;0;0
261349;0.00199778564274;8.72053169301;3.41783232538;-74.5512220012;-0.0784710049629;-0.79077488184;0.603858828545;0.0223545301706;2.74407505989;-1.18377184868;7.78227901459;0.052734375;0.25;-1.09497070312;-0.358593761921;34.5374984741;-10.0593748093;0;0;0;0;0
261350;0.00199778564274;8.72133796061;3.41521467851;-74.5660527038;-0.0784597992897;-0.79069763422;0.603960216045;0.0223869588226;2.94494986534;-0.130721986294;8.51407337189;0.035400390625;0.2509765625;-1.138671875;-0.358593761921;34.5374984741;-10.0593748093;0;0;0;0;0
261351;0.0019978096243;8.72131890443;3.41414223476;-74.5821238382;-0.0784508436918;-0.79061383009;0.60407024622;0.022405192256;3.40101289749;1.59478187561;9.61414718628;0.039794921875;0.241455078125;-1.16552734375;-0.358593761921;34.5374984741;-10.0593748093;0;0;0;0;0
261352;0.00199778564274;8.71967739076;3.41695010993;-74.6000318464;-0.0784509330988;-0.790519952774;0.604193687439;0.0223893336952;4.7906255722;4.03748178482;10.3315753937;0.00244140625;0.242919921875;-1.20556640625;-0.358593761921;34.5374984741;-10.0593748093;0;0;0;0;0
261353;0.00199778564274;8.71494336829;3.42335931998;-74.6188358175;-0.0784486308694;-0.790422320366;0.604323804379;0.0223328564316;6.6081700325;7.15186548233;10.9419403076;0.01220703125;0.22314453125;-1.21313476562;-0.17929688096;32.9185562134;-10.9265623093;0;0;0;0;0
261354;0.00199778564274;8.70573495577;3.43645529535;-74.6382776772;-0.078450858593;-0.790322005749;0.604459345341;0.0222069900483;8.77535820007;10.5412988663;11.2476053238;-0.017333984375;0.224853515625;-1.21459960938;-0.17929688096;32.9185562134;-10.9265623093;0;0;0;0;0
261355;0.00199778564274;8.69223197028;3.45523182844;-74.6575895137;-0.0784536972642;-0.790223360062;0.604594886303;0.0220191050321;10.7460250854;14.5716400146;11.3539609909;-0.023193359375;0.21728515625;-1.234375;-0.17929688096;32.9185562134;-10.9265623093;0;0;0;0;0
261356;0.00199778564274;8.6743885064;3.48177541576;-74.6762658884;-0.0784680396318;-0.790128052235;0.604727208614;0.0217542350292;13.0359516144;18.7548713684;10.9418115616;-0.014892578125;0.213623046875;-1.2138671875;-0.17929688096;32.9185562134;-10.9265623093;0;0;0;0;0
261357;0.00199778564274;8.65202871258;3.51672126182;-74.6932412687;-0.0784962773323;-0.79004150629;0.604848980904;0.0214063469321;15.9808664322;22.5413951874;10.5150384903;-0.028564453125;0.216552734375;-1.18994140625;-0.17929688096;32.9185562134;-10.9265623093;0;0;0;0;0
261358;0.0019978096243;8.62412525877;3.55845705202;-74.7085925647;-0.0785227566957;-0.789964973927;0.60496032238;0.0209811460227;18.1341381073;26.1748867035;10.2552394867;-0.036376953125;0.200927734375;-1.17700195312;1.43437504768;35.2570304871;-9.36562538147;0;0;0;0;0
