Pack;dt;Roll;Pitch;Yaw;q0;q1;q2;q3;Gyro_x;Gyro_y;Gyro_z;Accel_x;Accel_y;Accel_z;Mag_x;Mag_y;Mag_z;Alti;VVel;dt_Baro;Baro;Temp
13621;0.00199785712175;4.45671355471;10.6365402329;-171.024576465;-0.0954526364803;-0.0803127363324;0.989991009235;0.0313698463142;2.16854929924;0.653636336327;4.2901058197;0.155029296875;0.209228515625;-1.04370117188;20.7984371185;42.0925788879;2.08124995232;0;0;0;0;0
13622;0.00199785712175;4.45677548019;10.6366181132;-171.032199752;-0.0954513028264;-0.0802478939295;0.989996194839;0.0313765853643;2.10612511635;0.638561725616;4.29062080383;0.15576171875;0.204345703125;-1.03979492188;20.7984371185;42.0925788879;2.08124995232;0;0;0;0;0
13623;0.00199783337303;4.45678732892;10.6367229895;-171.039850553;-0.095450155437;-0.0801827758551;0.990001380444;0.0313828960061;1.96922850609;0.760626912117;4.39729785919;0.15380859375;0.206298828125;-1.037109375;20.7984371185;42.0925788879;2.08124995232;0;0;0;0;0
13624;0.00199785712175;4.45713409184;10.6370213608;-171.047757072;-0.0954508706927;-0.0801157653332;0.990006446838;0.0313921757042;2.04573369026;0.60793107748;4.24456167221;0.156494140625;0.2041015625;-1.03979492188;20.7984371185;42.0925788879;2.08124995232;0;0;0;0;0
13625;0.00199785712175;4.45726995123;10.637088274;-171.055342882;-0.0954495072365;-0.0800513029099;0.990011572838;0.0313995294273;2.38178110123;0.516303956509;4.30556583405;0.154052734375;0.208251953125;-1.04956054688;20.7984371185;42.0925788879;2.08124995232;0;0;0;0;0
13626;0.00199785712175;4.45682115107;10.6368187012;-171.062917617;-0.0954447835684;-0.0799864381552;0.990017175674;0.0314020551741;2.24454593658;0.623150110245;4.30550146103;0.1533203125;0.205810546875;-1.03979492188;22.0535163879;41.9126968384;0.520312488079;0;0;0;0;0
13627;0.00199785712175;4.45662017622;10.6367917411;-171.070540578;-0.0954423397779;-0.0799213722348;0.990022540092;0.031406596303;1.97075498104;0.592471301556;4.39671850204;0.15478515625;0.209228515625;-1.0361328125;22.0535163879;41.9126968384;0.520312488079;0;0;0;0;0
13628;0.00199785712175;4.45709339016;10.6368016449;-171.078459827;-0.0954406484962;-0.0798543542624;0.990027785301;0.0314171724021;2.0160472393;0.577276349068;4.32057571411;0.1552734375;0.207275390625;-1.04125976562;22.0535163879;41.9126968384;0.520312488079;0;0;0;0;0
13629;0.00199785712175;4.45738154918;10.6367578908;-171.086209671;-0.0954383909702;-0.0797886252403;0.990032970905;0.0314260460436;2.19891405106;0.714729070663;4.3665060997;0.15576171875;0.210205078125;-1.03735351562;22.0535163879;41.9126968384;0.520312488079;0;0;0;0;0
13630;0.00199785712175;4.45744703672;10.6370404711;-171.093971405;-0.0954388007522;-0.0797225981951;0.990038156509;0.0314327962697;2.15175747871;0.684387326241;4.32121944427;0.154052734375;0.206298828125;-1.03564453125;22.0535163879;41.9126968384;0.520312488079;0;0;0;0;0
13631;0.00199785712175;4.45747505385;10.6371946728;-171.101661125;-0.0954380780458;-0.0796571597457;0.990043282509;0.0314392447472;2.21401166916;0.745287537575;4.24443292618;0.157470703125;0.211181640625;-1.041015625;22.412109375;41.5529289246;0.8671875;0;0;0;0;0
